../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,1,49,38,0.00,47,39,0.02,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,2,42,36,0.02,42,32,0.03,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,3,40,31,0.04,40,30,0.04,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,4,46,28,0.04,63,24,0.07,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,5,70,31,0.08,78,32,0.08,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,6,78,25,0.38,26,20,0.40,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,7,12,21,0.40,10,20,0.40,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,8,21,34,0.45,37,61,0.46,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,9,38,66,1.09,36,60,1.09,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,10,54,62,1.15,34,27,1.18,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,12,6,24,1.19,6,24,1.19,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,13,6,24,1.33,61,21,1.35,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,14,76,31,6.21,72,32,6.21,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,15,60,38,6.22,60,38,6.22,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,16,53,40,6.23,52,42,6.23,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,17,52,59,6.25,50,66,6.25,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,18,32,65,6.57,32,65,6.57,0,0
