tag,orientation
42,R
122,R
121,R
41,R
40,L
8,L
12,L
6,R
11,R
4,L
10,L
60,R
2,R
111,R
0,R
1,L
20,R
211,R
3,R
5,R
7,L
21,L
31,L
30,L
50,R
212,R
32,R
