filename,id,x0,y0,t0,x1,y1,t1,number_warning,broken_track
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,1,49,38,0.75,47,39,2.46,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,2,42,36,2.96,42,32,3.46,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,3,40,31,4.21,40,30,4.25,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,4,46,28,4.75,63,24,7.13,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,5,70,31,8.13,78,32,8.97,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,6,78,25,38.41,26,20,40.21,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,7,12,21,40.75,10,20,40.87,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,8,21,34,45.5,37,61,46.59,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,9,38,66,69.19,36,60,69.74,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,10,54,62,75.74,34,27,78.7,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,12,6,24,79.87,6,24,79.87,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,13,6,24,93.68,61,21,95.39,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,14,76,31,381.01,72,32,381.26,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,15,60,38,382.76,60,38,382.76,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,16,53,40,383.34,52,42,383.59,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,17,52,59,385.3,50,66,385.64,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_0.mp4,18,32,65,417.17,32,65,417.17,0,0
