filename,id,x0,y0,t0,x1,y1,t1,number_warning,broken_track
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,1,8,48,105.77,24,38,106.61,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,2,24,30,107.48,50,4,110.65,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,3,56,6,133.97,50,22,134.38,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,4,54,33,135.34,77,46,136.43,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,5,61,56,260.89,61,56,260.89,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,7,34,59,261.68,34,59,261.68,0,0
../../intermediate/crop/7-7-21_21-BA2_2B/0/ROI_4.mp4,9,9,60,262.3,9,60,262.3,0,0
